"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"11",90.3747185361509,514.087862638444,1153.69876588148,1883.60329321471,2630.63298537446,3364.50180556989,4074.4426834486,4757.72140041267,5414.82410430777,6047.45268526517,6657.67715544037,7247.57790347025,7819.10163892803,8374.01223996111,8913.88359572794,9440.11026528983,9953.92476577837,10456.4163474357,10948.5489805574,11431.1776500831,11905.0627033251,12370.8822937772,12829.2430885074,13280.6894471381,13725.711281323,14164.7507872382,14598.2082209866,15026.4468633246,15449.7972981609,15868.5611098076,16283.0140871692,16693.4090088258,17099.9780710144,17502.9350105375,17902.4769663252,18298.7861164676,18692.0311217963
"12",82.7441085550206,494.72655740468,1148.15067018203,1906.3475378025,2683.75957031784,3445.08762882023,4178.25137876705,4880.54640661139,5552.89878801845,6197.5260199491,6816.97808571428,7413.7496388563,7990.13455856678,8548.18452111808,9089.71146267605,9616.30724140752,10129.3685916594,10630.1221711532,11119.6475900244,11598.8977308057,12068.7163058272,12529.8528650775,12982.9755593606,13428.6819751625,13867.5083348158,14299.9373203554,14726.4047422108,15147.3052390768,15562.9971646454,15973.8067907037,16380.0319341352,16781.9450971224,17179.7961947829,17573.8149320615,17964.2128814868,18351.1853049909,18734.912756052
"13",75.6578249439053,475.347992824716,1142.41460777194,1930.02719150893,2738.97596536918,3528.48377240268,4285.16052303094,5006.44470907739,5693.81149424238,6350.07651093589,6978.32730595379,7581.51163407146,8162.29623520838,8723.03730346397,9265.79547796232,9792.3664856199,10304.315096364,10803.0073438851,11289.6392074156,11765.2613725985,12230.8002824792,12687.0759040823,13134.8166810513,13574.6721162298,14007.2233753804,14432.9922451532,14852.4487237723,15266.0174749398,15674.0833348162,16076.9960281699,16475.0742220443,16868.6090226113,17257.8670024041,17643.0928300642,18024.5115624657,18402.3306490557,18776.7416900414
"14",69.0923111662651,455.989550169371,1136.48494812957,1954.68139671296,2796.34948416813,3614.74217810257,4395.18330688389,5135.38582220216,5837.49289352904,6505.00458061992,7141.60420064393,7750.7306419387,8335.44787643813,8898.43193227858,9442.00150840253,9968.16164322149,10478.6480173134,10974.9672361505,11458.4317534444,11930.1894650266,12391.248515598,12842.4979996973,13284.7252215243,13718.6301038212,14144.8372471918,14563.9060561415,14976.3392733641,15382.5902008365,15783.0688344404,16178.1470966452,16568.1633176885,16953.4260881885,17334.2175839566,17710.7964458893,18083.400283353,18452.2478577445,18817.5409933702
"15",63.0227016372172,436.690324102028,1130.35595607969,1980.35079791661,2855.94762099878,3703.91120216099,4508.32637996358,5267.3315783658,5983.86637045203,6662.20471517641,7306.68401170043,7921.27115692525,8509.45019224353,9074.23077934973,9618.19768769525,10143.5695764514,10652.2549852003,11145.901542913,11625.9376929547,12093.6074846148,12549.9993736814,12996.0700132603,13432.6639219222,13860.5297840879,14280.3340062618,14692.6720365373,15098.0778572585,15497.0319810269,15889.9682160244,16277.2794152565,16659.3223833381,17036.4220817703,17408.875247555,17776.9535191122,18140.9061466893,18500.9623509381,18857.333382407
"16",57.4232373736167,417.490894943384,1124.02179616329,2007.07757136621,2917.83781306892,3796.0352081859,4624.5895638306,5402.23610207812,6132.8482530834,6821.56587516632,7473.43834338543,8092.99594072684,8684.16388842719,9250.29767133636,9794.25476294465,10318.4706241218,10825.0276995845,11315.7143829094,11792.0740684361,12255.4454741228,12706.9956480852,13147.7469836563,13578.5993801644,14000.3484866925,14413.7007860351,14819.2861247932,15217.668172691,15609.3531960992,15994.7974530954,16374.4134561167,16748.5752999368,17117.6232145265,17481.8674721243,17841.5917538144,18197.0560617371,18548.4992476977,18896.1412165736
"17",52.2676511347165,398.433054062068,1117.47653782525,2034.90545110856,2982.08718158252,3891.15416068987,4743.96559937761,5540.04583457681,6284.34808873998,6982.97193675916,7641.73567912194,8265.76654307835,8859.45014282526,9426.49829314549,9970.0464124883,10492.7488320267,10996.8620769908,11484.3143736257,11956.7625130849,12415.638005522,12862.1844774621,13297.4880239276,13722.501929288,14138.0668931513,14544.927662673,14943.7467824751,15335.1160227664,15719.565928226,16097.5738381238,16469.5706563394,16835.946593851,17197.0560623315,17553.2218629383,17904.7387871,18251.8767244539,18594.8833558303,18933.9864953562
"18",47.5295159329221,379.559482283783,1110.71416150089,2063.87975083522,3048.762251793,3989.30322326507,4866.43993254027,5680.69960941935,6438.26896327287,7146.30215906032,7811.44190542401,8439.44381374131,9035.17106147609,9602.7005647329,10145.4495345505,10666.2921545094,11167.6583724771,11651.6146832301,12119.9292448674,12574.1241281284,13015.5172613137,13445.2562105631,13864.3455115407,14273.6689034588,14674.0075206146,15066.0548639005,15450.4291941507,15827.6838498267,16198.3158841345,16562.7733337478,16921.4613671086,17274.7475103428,17622.9661098206,17966.4221597598,18305.3945990853,18640.1391625721,18970.8908559917
"19",43.1825529901397,360.913382749754,1103.7285656884,2094.04738081058,3117.92865251106,4090.51236562801,4991.99054175211,5824.12877893373,6594.50786064586,7311.43167284048,7982.42083828112,8613.88840193512,9211.1901122761,9778.77499011638,10320.344506556,10838.9926277969,11337.3212757823,11817.5330608437,12281.5050430562,12730.8473033187,13166.9495639529,13591.0184665875,14004.1075491441,14407.1415017157,14800.9359189473,15186.2134879054,15563.6173377727,15933.7221157497,16297.0432300337,16654.0446062462,17005.1452310527,17350.7247006122,17691.1279479113,18026.6692889878,18357.6359012964,18684.290826327,19006.875571785
"20",39.2008972268382,342.538071433547,1096.5135751016,2125.45685912274,3189.65079585453,4194.80598392946,5120.58781013123,5970.25739072069,6752.95605908918,7478.23198585877,8154.53474752204,8788.961239829,9387.37253405518,9954.59497775192,10494.6154152269,11010.7465159094,11505.7599832841,11981.9918465812,12441.4252087038,12885.7553272182,13316.4410101156,13734.7454395001,14141.7688125787,14538.474621414,14925.7109590592,15304.2279120543,15674.6918527244,16037.6972590568,16393.7765496573,16743.4083148047,17087.024243331,17425.0149826354,17757.7351208987,18085.5074430599,18408.6265827652,18727.3621693995,19041.9615510152
